review,rating,date
Bentuk dan ukuran: Agak kebesaran sedikit dibagian depan tapi dibagian atas matakaki pas.,bintang 5,4 bulan lalu
"ini pembelian ke 2, boots nya enak dipakai n keren",bintang 5,
Nyaman cuma alasnya tipis jadi kalo lama jalan bikin pegel dan tidak anti slip harus hati2 jalan nya kalo di lantai,bintang 4,3 minggu lalu
cantikk sesuai dengan yg difoto. ukurannya pas!,bintang 5,6 bulan lalu
"akhirnya sampai juga, barang oke, real pict, bahannya juga bagus. Cmn sempat kesel sma ekspedisinya, harusnya paket sampai sabtu kmarin malah sampainya hari ini gara2 ga...",bintang 5,3 bulan lalu
"Bagus dan pas banget untuk ukuran kaki 23,5 ambil 38 masih bisa pake kaus kaki. Tapi kalo mau lebih nyaman lagi bisa upsize ke 39.",bintang 5,5 bulan lalu
"Tolong dong ini ga bs dpkai, ukuran 38 yg dtg, warna jg salah...
Saya kann plih 39 warna khaki😭 tolong ini DIGANTI !!!",bintang 3,5 bulan lalu
"Alhamdulillah paket sudah diterima dengan aman.Pengiriman dan respon penjual cepat. Kurir ramah. Sepatunya bahannya  nyaman di pake, ngak ngecewain, harganya murce. Tokon...",bintang 5,1 bulan lalu
"cantik bangett😍 bahan bagus, sangat lembut cuman bagian sol agak sobek tapi nggak papa, masih bisa dipake❤️❤️",bintang 5,
ganyangka bagus banget 100 rban trus nyaman dipakai. Ga expect boots ringan dan nyaman,bintang 5,6 bulan lalu
"Bentuk dan ukuran: Pas di kaki, fashionable, nyaman mau di pake beraktivitas seharian tergantung kaos kaki.. kalo kaos kaki nya agak ketat biasa nya ndak nyaman .",bintang 5,6 bulan lalu
"Paketnya dah sampai,,,memuaskan juga nyaman bakalan jadi langganan deh",bintang 5,1 bulan lalu
"pilih satu ukuran diatas ukuran kaki, supaya betisnya bisa masuk. Apalagi pakenya dibarengi kaos kaki.",bintang 5,2 bulan lalu
Baguus realpict dan cepet banget pengirimannya,bintang 5,4 bulan lalu
"sepatunya bagus banget, bahannya kelihatan gak murahan, sayang ukuran maksimalnya cuma 40, semoga next ada yg 41 atau 42 yaa",bintang 5,
"Bagus banget sesuai fotoo. Aku biasanya ukuran 36 tapi aku pilih 37 cocokk pass banget malah. Untuk bahan dalemnya halus, ini mirip banget sama boots Stradivar*us yang ak...",bintang 5,
"Keren, barang sesuai gambar 👍🏻
Ukuran cocok dengan deskripsi, bahan lembut ga bikin lecet. Recommended 👍🏻",bintang 5,
"Appriciate banget sepatunya bagus dan nyaman dipakai. Dan ukurannya pas dikakiku, walaupun q naikin 1 nomer takutnya kekecilan krn model tertutup. Packing juga aman, baha...",bintang 5,4 bulan lalu
"Ad yg lecet, kecil sebelah padahal ukuran nya sama, dasar nya juga mau kebuka",bintang 5,4 bulan lalu
Pas dan bahannya halus dan ringan,bintang 5,3 minggu lalu
"Seperti gambar, kulit lembut, ga kaku nyaman dipake, buat jalan pun ga bikin kaki sakit. Thx seller 👍🏻",bintang 5,4 bulan lalu
"Ukuran sepatu pas. Bahan kulit lemas, nyaman dipakainya.. Cukup bagus jg dipakainya.. Semoga nanti pakai jln lama tdk sakit. Terima kasih.",bintang 5,
"Ukurannya pas, bahan gak kaku dan empuk dipakai.",bintang 5,
"Bentuk dan shape sangat baik, tapi insole cukup keras kurang empuk. Bisa diperbaiki dengan penambahan sole foam di bagian telapak",bintang 4,
pas banget. keren dipakai. Bahan nyaman dipakai. Buat harga segini sih lumayan banget.,bintang 5,
"sebenernya ukuran kaki gue 24.5 which is 39, cuma karena beberapa review dan gue dpt link ini dr selebgram harus upsize (makesense sih karena boots) soo gue upsize ke siz...",bintang 5,7 bulan lalu
Sepatu dah nyampe..blm di pake.. insyaallah nt pas dipake jalan gk sakit dan nyaman..amoga jg gk klupas kulitx..🙏,bintang 5,
"cantik banget sesuai ekspektasi, tapi sayang solnya tipis jadi kalo dipake jalan kayanya bakal cape karena aku cuma try on aja pegel, but overall lucuuu, sesuai picture",bintang 5,
Size 37 tp yg satu sebelah kanan ga bs ditutup resleting nya setengah Karena kekecilan...yg sebelah kiri bs ditutup...sama ada noda kuning di kedua sisinya,bintang 2,2 minggu lalu
ini harganya murah tapi beneran kualitasnya bagus. aku pake jalan jalan 3-4 jam jujur masih nyaman dibanding sepatu hak aku yang lain yang 2 jam udah mulai pegel. ukurann...,bintang 5,
"Terimakasih sepatu nya sudah sampai riel pict sesuai gambar,toko yg amanah. sangat puas banget bahan mantul, Kemasan bagus dan rapi, kurier nya pun ramah",bintang 5,1 bulan lalu
"Size 40 nya kecil jd ngepas bgt gitu , klo pake kaos kaki tebel jd ga muat diresletingin , pengen nangis tp udh mau berangkat n mubajir juga",bintang 2,5 bulan lalu
"Cantik, makasi😍
Ringan banget, bahan halus",bintang 5,1 bulan lalu
Super bagus bebb di aku bentuk dan ukurannnn jadi bagus klo begini di lihat 😘😘😘😘😘,bintang 5,6 bulan lalu
"Model nya bagus, ukuran nya jg cukup pas di kaki, nyaman di pakai",bintang 5,7 bulan lalu
"Bagus... Enak di pakainya... Modis .. bahan nya enak enteng ga berat, cakep di kaki. Terima kasih untuk kuriernya baik bgt",bintang 5,3 minggu lalu
"Sengat memuaskan, kualitas baik sesuai harganya, nyaman di pakai",bintang 5,2 minggu lalu
"sepatunya pas, enak dipakai dan kece..kualitas bahannya bagus",bintang 5,
"bagus, banget banget bangetttttt. tadi kirain ukuran 40 bakal kekecilan, ternyata pas!! tapi pas nya ga nyesek. saking senengny yh udh aku pakai, aku coba cobain sampe ko...",bintang 5,1 bulan lalu
